id,username,date,time,tweet
773951341345411072,rthon_johnkey,2016-09-09,02:29:13,First meeting with President Duterte. Discussed a range of issues including human rights and the South China Sea.  pic.twitter.com/3i9hjWEhhL
758407722815492097,rthon_johnkey,2016-07-28,05:04:26,On WTV with Dr Jian Yang talking about Auckland's Unitary Plan and the importance of NZ's relationship with China.  pic.twitter.com/9z9MXbWrau
723000036389343233,rthon_johnkey,2016-04-21,12:06:56,Walked along the old city wall in China's cultural capital of Xi'an.  pic.twitter.com/x0L9TWYDjQ
722637841822531585,rthon_johnkey,2016-04-20,12:07:42,"Visited Xi’an’s International Trade and Logistics Park, China’s first inland port and an important transport hub.  pic.twitter.com/xklO8HxIcB"
722336410124951552,rthon_johnkey,2016-04-19,16:09:55,"Sat down with China’s Phoenix TV to discuss the global economy, TPP, and the FTA upgrade.  pic.twitter.com/ciA6ncJGfE"
721951918965137408,rthon_johnkey,2016-04-18,14:42:05,"Pleased to meet one of China’s most influential and successful business leaders - Jack Ma, founder of Alibaba.  pic.twitter.com/54TeNtZjqK"
721842009699319808,rthon_johnkey,2016-04-18,07:25:20,Arrived in Beijing last night on my sixth official visit to China.  pic.twitter.com/YJsSuoFEfK
721485007781437440,rthon_johnkey,2016-04-17,07:46:45,Today I'm off on an important trip to China to build on our growing relationship with our largest export partner.  https://youtu.be/YhHhl38MzYw 
672625056527159298,rthon_johnkey,2015-12-04,11:54:44,Caught up with the NZ China Council following their AGM in Auckland.  pic.twitter.com/JqrHHbHtDN
644274692392488960,rthon_johnkey,2015-09-17,06:20:31,Great to witness signing of a partnership between China Southern Airlines & Christchurch airport.  pic.twitter.com/PcOceOzOa0
610553700554125312,rthon_johnkey,2015-06-16,05:05:20,Good luck #FootballFerns for your must-win clash with China this morning. Great to see more NZ footballers competing on the world stage.
535596541088514049,rthon_johnkey,2014-11-21,08:52:20,Sir Don McKinnon introduces President Xi Jinping to the New Zealand China Council.  pic.twitter.com/1wgZhe5fKe
535569310148603904,rthon_johnkey,2014-11-21,07:04:08,With President Xi as Madame Peng signed an agreement with @lgnz to build on the close relationship we have with China  pic.twitter.com/w9P4qfjPUC
535291417585647617,rthon_johnkey,2014-11-20,12:39:53,"Our relationship with China has never been better, with China now our largest trading partner.  http://ntnl.org.nz/1t6Bzgi  pic.twitter.com/WBmrDj3RFj"
531631457173647360,rthon_johnkey,2014-11-10,10:16:31,"Witnessing the signing of AsureQuality's food safety agreement, allowing them to accelerate their expansion in China.  pic.twitter.com/MbiyisNqzS"
482302691406651393,rthon_johnkey,2014-06-27,07:21:37,In 2010 we set a goal to double 2-way trade with China to $20b by 2015. We passed that milestone today 6 months early  http://ntnl.org.nz/1miKIh8 
446374052391706624,rthon_johnkey,2014-03-20,03:54:02,At our very successful meeting President Xi of China said he was looking forward to visiting us later this year.  pic.twitter.com/DbwkGWCWFe
446127921246138369,rthon_johnkey,2014-03-19,11:36:00,A great haka at the home of rugby in China - China Agricultural University.  pic.twitter.com/nbPfhFCeMP
446104909448892416,rthon_johnkey,2014-03-19,10:04:33,Signing a barrel in the experimental wine cellar at China Agricultural University.  pic.twitter.com/c8mDby19kI
445784529362358272,rthon_johnkey,2014-03-18,12:51:28,NZ companies are going great guns in China. Pacific Aerospace just signed a deal with Beijing Aviation.  pic.twitter.com/jU8ysBUdRC
445769024786296832,rthon_johnkey,2014-03-18,11:49:52,Hello Beijing – looking forward to my 4th official visit to China in 5 years.
406212468201906177,rthon_johnkey,2013-11-29,08:06:14,Looking at the design work at Dunedin's Architecture Van Brandenburg. This model's for a project being built in China  pic.twitter.com/PIWEcQFrWy
388418904512409600,rthon_johnkey,2013-10-11,05:40:58,Had a great meeting with China's Premier Li in Brunei today.  pic.twitter.com/KI6zZE71a2
386796213061709824,rthon_johnkey,2013-10-06,18:12:58,I had a good meeting with the President of China Xi Jinping in Bali today.  pic.twitter.com/wO5NxLRk8j
322576840969572352,rthon_johnkey,2013-04-12,13:08:06,Media release: Speech to the New Zealand China Partnership Forum  http://johnkey.co.nz/archives/1638-Speech-to-the-New-Zealand-China-Partnership-Forum.html …
322517245819490304,rthon_johnkey,2013-04-12,09:11:18,I’ve just met with Chinese Vice Premier Wang Yang at the inaugural NZ #China Partnership Forum in Beijing  pic.twitter.com/rBewHPgYLW
322218436396732416,rthon_johnkey,2013-04-11,13:23:56,"Speech to Peking University, Beijing, China  http://johnkey.co.nz//archives/1637-Speech-to-Peking-University,-Beijing,-China.html …"
322206680073003009,rthon_johnkey,2013-04-11,12:37:13,In #China today we received a Māori cloak given to Chairman Mao in 1957 – it’s being loaned to Te Papa this year  pic.twitter.com/dzTbIn6B28
322184476329398273,rthon_johnkey,2013-04-11,11:09:00,I've just given an address to the prestigious Peking University in Beijing #China  pic.twitter.com/0ZnKvp0Wd5
321944185198493696,rthon_johnkey,2013-04-10,19:14:10,Just had a warm and productive hour-long meeting with new Chinese Premier Li Keqiang in #china  pic.twitter.com/dzJmpC9d1L
321925294959239169,rthon_johnkey,2013-04-10,17:59:06,I’ve just arrived at the official welcome ceremony by Premier Li Keqiang at the Great Hall of the People in #China  pic.twitter.com/PyM8LQhwvK
321865466362609664,rthon_johnkey,2013-04-10,14:01:22,Today NZ’s Deep South Ice Cream signed an agreement to supply NZ ice cream to a Beijing pizza chain #China  pic.twitter.com/GFt9VFTXzS
321751560612892675,rthon_johnkey,2013-04-10,06:28:44,New Zealand's exports to China have already more than trebled.  pic.twitter.com/ndH5CX4m1Z
321251549210873857,rthon_johnkey,2013-04-08,21:21:52,I've just arrived in Shanghai - the 2nd city we are visiting on this visit to #China to push NZ exports.  pic.twitter.com/4z6iywabMu
321162048908193792,rthon_johnkey,2013-04-08,15:26:14,I’ve just met Guandong Party Secretary Hu Chun Hua in Guangzhou #China  pic.twitter.com/okk4EFhojz
321153584685277186,rthon_johnkey,2013-04-08,14:52:36,I went to a ceremony today where Kiwi film studio Huhu signed a JV to set up an animation training school #china  pic.twitter.com/lkzat5LfIs
321002624260390912,rthon_johnkey,2013-04-08,04:52:44,Last night I met with Chinese President Xi Jinping; we’ve committed to boosting 2-way trade between our countries to NZ$20b by 2015 #China
